region,tenure,age,marital,address,income,ed,employ,retire,gender,reside,tollfree,equip,callcard,wireless,longmon,tollmon,equipmon,cardmon,wiremon,longten,tollten,equipten,cardten,wireten,multline,voice,pager,internet,callid,callwait,forward,confer,ebill,custcat,churn
2,13,44,1,9,64.00,4,5,0,0,2,0,0,1,0,3.70,0.00,0.00,7.50,0.00,37.45,0.00,0.00,110.00,0.00,0,0,0,0,0,0,1,0,0,1,1
3,11,33,1,7,136.00,5,5,0,0,6,1,0,1,1,4.40,20.75,0.00,15.25,35.70,42.00,211.45,0.00,125.00,380.35,0,1,1,0,1,1,1,1,0,4,1
3,68,52,1,24,116.00,1,29,0,1,2,1,0,1,0,18.15,18.00,0.00,30.25,0.00,"1,300.60","1,247.20",0.00,"2,150.00",0.00,0,0,0,0,1,1,0,1,0,3,0
2,33,33,0,12,33.00,2,0,0,1,1,0,0,0,0,9.45,0.00,0.00,0.00,0.00,288.80,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,1,1
2,23,30,1,9,30.00,1,2,0,0,4,0,0,0,0,6.30,0.00,0.00,0.00,0.00,157.05,0.00,0.00,0.00,0.00,0,0,0,0,1,0,1,1,0,3,0
2,41,39,0,17,78.00,2,16,0,1,1,1,0,1,0,11.80,19.25,0.00,13.50,0.00,487.40,798.40,0.00,570.00,0.00,0,0,0,0,1,1,0,0,0,3,0
3,45,22,1,2,19.00,2,4,0,1,5,0,0,1,0,10.90,0.00,0.00,8.75,0.00,504.50,0.00,0.00,415.00,0.00,1,0,0,1,0,1,0,0,1,2,1
2,38,35,0,5,76.00,2,10,0,0,3,1,1,1,1,6.05,45.00,50.10,23.25,64.90,239.55,"1,873.05","1,820.90",880.00,"2,256.70",1,1,1,1,1,1,1,1,1,4,0
3,45,59,1,7,166.00,4,31,0,0,5,1,0,1,0,9.75,28.50,0.00,12.00,0.00,449.05,"1,240.15",0.00,505.00,0.00,1,0,0,0,1,1,1,1,0,3,0
1,68,41,1,21,72.00,1,22,0,0,3,0,0,1,0,24.15,0.00,0.00,16.50,0.00,"1,659.70",0.00,0.00,"1,155.00",0.00,1,0,0,0,0,0,0,0,0,2,0
2,5,33,0,10,125.00,4,5,0,1,1,0,1,0,0,4.85,0.00,26.15,0.00,0.00,17.25,0.00,110.10,0.00,0.00,0,0,1,1,0,0,0,0,1,1,1
3,7,35,0,14,80.00,2,15,0,1,1,1,0,1,0,7.10,22.00,0.00,23.75,0.00,47.45,166.10,0.00,145.00,0.00,0,1,0,0,1,1,1,1,0,3,0
1,41,38,1,8,37.00,2,9,0,1,3,0,0,1,0,8.55,0.00,0.00,41.75,0.00,308.70,0.00,0.00,"1,650.00",0.00,0,0,0,0,0,0,0,0,0,1,0
2,57,54,1,30,115.00,4,23,0,1,3,1,1,0,1,15.60,46.25,46.70,0.00,61.05,825.35,"2,624.25","2,590.95",0.00,"3,348.85",1,1,1,1,1,1,1,1,1,4,1
2,9,46,0,3,25.00,1,8,0,1,2,0,0,0,0,4.40,0.00,0.00,0.00,0.00,36.80,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,1,0
1,29,38,1,12,75.00,5,1,0,0,4,0,1,1,0,5.10,0.00,30.25,11.25,0.00,146.25,0.00,780.80,295.00,0.00,1,0,0,1,0,0,0,0,0,2,0
3,60,57,0,38,162.00,2,30,0,0,1,1,1,1,0,16.15,29.75,31.30,30.00,0.00,946.90,"1,767.60","1,788.95","1,795.00",0.00,1,0,0,0,1,1,1,1,0,3,0
3,34,48,0,3,49.00,2,6,0,1,3,1,0,0,0,6.65,18.50,0.00,0.00,0.00,230.80,614.30,0.00,0.00,0.00,0,0,0,0,0,1,1,1,0,3,0
2,1,24,0,3,20.00,1,3,0,0,1,0,0,0,0,1.05,0.00,0.00,0.00,0.00,1.05,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,1,0
